id,Session #,time_clip,Time mentioned (h:mm:ss),Atlascine-location,Location,Scale
122,1,,1:32:04,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
123,1,,1:32:09,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
124,1,,1:32:28,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
125,1,,1:32:31,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
126,1,,1:32:34,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
127,1,,1:32:38,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
128,1,,1:33:32,"NYC, USA",New York; NY,city / area
129,1,,1:33:36,"Boston, USA",Boston; MA,city / area
130,1,,1:33:38,"NYC, USA",New York; NY,city / area
131,1,,1:33:41,"NYC, USA",New York; NY,city / area
132,1,,1:34:30,"NYC, USA",New York; NY,city / area
133,1,,1:35:06,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
134,1,,1:35:28,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
135,1,,1:35:30,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
136,1,,1:35:33,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
137,1,,1:35:34,"Pie-IX, Montreal, Canada",Pie-IX; Montreal; Qc,local
138,1,,1:35:35,"Saint-Michel, Montreal, Canada",Saint-Michel; Montreal; Qc,local
139,1,,1:35:44,"Saint-Michel, Montreal, Canada",Saint-Michel; Montreal; Qc,local
140,1,,1:35:45,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
141,1,,1:35:52,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
142,1,,1:35:54,"Laval, Canada",Laval; Qc,city / area
143,1,,1:35:55,"Terrebonne, Canada",Terrebonne; Qc,city / area
144,1,,1:35:56,"South Shore Canal, Canada",South Shore Canal; Canada,city / area
145,1,,1:36:01,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
146,1,,1:36:07,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
147,1,,1:36:45,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
148,1,,1:36:47,"Saint-Leonard, Montreal, Canada",Saint-Leonard; Montreal; Qc,local
149,1,,1:36:49,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
150,1,,1:37:45,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
151,1,,1:37:55,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
152,1,,1:37:58,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
153,1,,1:37:59,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
154,1,,1:40:33,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
155,1,,1:40:37,"École secondaire Jean-Grou, Montreal, Canada",École secondaire Jean-Grou; Montreal; Qc,very local
156,1,,1:40:39,"École secondaire Jean-Grou, Montreal, Canada",École secondaire Jean-Grou; Montreal; Qc,very local
157,1,,1:40:48,"Centre Louis-Fréchette, Montreal, Canada",Centre Louis-Fréchette; Montreal; Qc,very local
158,1,,1:40:54,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
159,1,,1:40:56,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
160,1,,1:41:02,"École Jules Verne, Montreal, Canada",École Jules Verne; Montreal; Qc,local
161,1,,1:41:03,"École Adélard-Desrosiers, Montreal, Canada",École Adélard-Desrosiers; Montreal; Qc,very local
162,1,,1:41:08,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
163,1,,1:41:10,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
164,1,,1:41:26,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
165,1,,1:41:32,"Centre Louis-Fréchette, Montreal, Canada",Centre Louis-Fréchette; Montreal; Qc,very local
166,1,,1:41:33,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
167,1,,1:41:35,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
168,1,,1:41:37,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
169,1,,1:41:41,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
170,1,,1:41:43,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
171,1,,1:41:45,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
172,1,,1:42:00,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
173,1,,1:42:35,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
174,1,,1:42:38,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
175,1,,1:42:40,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
176,1,,1:42:42,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
177,1,,1:42:44,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
178,1,,1:42:50,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
179,1,,1:42:57,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
180,1,,1:42:58,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
181,1,,1:43:27,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
182,1,,1:43:40,"Montreal, Canada",Montreal; Qc,city / area
183,1,,1:44:58,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
184,1,,1:45:03,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
185,1,,1:45:05,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
186,1,,1:45:23,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
187,1,,1:45:31,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
188,1,,1:47:31,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Qc,very local
189,1,,1:48:05,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
190,1,,1:49:03,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Qc,very local
191,1,,1:50:41,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
192,1,,1:50:42,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Qc,very local
193,1,,1:51:13,"Centre Saint-Croix, Montreal, Canada",Centre Saint-Croix; Montreal; Qc,very local
194,1,,1:51:24,"Katimavik, Montreal, Canada",Katimavik; Montreal; Canada,very local
195,1,,1:51:56,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
196,1,,1:52:29,"Miami, USA",Miami; FL,city / area
197,1,,1:52:33,"Centre Jeunesse de Laval: Centre Cartier, Laval, Qc",Centre jeunesse de laval; Laval; Qc,very local
198,1,,1:53:34,"Cité des Prairies, Montreal, Canada",Cité des Prairies; Montreal; Qc,very local
199,1,,1:54:04,"Hôpital Rivière-des-Prairies, Montreal, Canada",Hôpital Rivière-des-Prairies; Montreal; Canada,very local
200,1,,1:54:10,"CEGEP Marie-Victorin, Montreal, Canada",CEGEP Marie-Victorin; Montreal; Qc,very local
201,1,,1:54:29,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
202,1,,1:56:45,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
203,1,,1:56:50,"Downtown Montreal, Canada",Downtown Montreal; Qc,local
204,1,,1:56:58,"McGill University, Montreal, Canada",McGill University; Montreal; Qc,very local
205,1,,1:57:00,"McGill University, Montreal, Canada",McGill University; Montreal; Qc,very local
206,1,,1:57:05,"East Montreal, Canada",East Montreal; Qc,city / area
207,1,,1:58:38,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
208,1,,1:58:39,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
209,1,,1:58:52,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
210,1,,1:58:55,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
211,1,,1:59:22,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
212,1,,1:59:26,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
213,1,,1:59:46,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
214,1,,1:59:55,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
215,1,,2:00:03,"Saint-Michel, Montreal, Canada",Saint-Michel; Montreal; Qc,local
216,1,,2:00:31,"Downtown Montreal, Canada",Downtown Montreal; Qc,local
217,1,,2:05:13,"Downtown Montreal, Canada",Downtown Montreal; Qc,local
218,1,,2:05:15,"Downtown Montreal, Canada",Downtown Montreal; Qc,local
219,1,,2:05:19,"Montreal, Canada",Montreal; Qc,city / area
220,1,,2:05:25,"Quebec, Canada",Quebec,region
221,1,,2:05:27,"Montreal, Canada",Montreal; Qc,city / area
222,1,,2:07:30,"École Marie-Rivier, Montreal, Canada",École Marie-Rivier; Montreal; Qc,very local
223,1,,2:07:50,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
224,1,,2:12:31,Haiti,Haiti,country
225,1,,2:12:32,Cuba,Cuba,country
226,1,,2:12:38,"Quebec, Canada",Quebec,region
227,1,,2:16:32,"Université de Montréal, Montreal, Canada",Université de Montreal; Montreal; Qc,very local
228,1,,2:16:34,"McGill University, Montreal, Canada",McGill University; Montreal; Qc,very local
229,1,,2:16:40,"Université de Montréal, Montreal, Canada",Université de Montreal; Montreal; Qc,very local
230,1,,2:16:43,"McGill University, Montreal, Canada",McGill University; Montreal; Qc,very local
231,,,2:17:02,"Université de Montréal, Montreal, Canada",Université de Montreal; Montreal; Qc,very local
232,1,,2:17:23,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
233,1,,2:17:24,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
234,1,,2:17:32,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
235,1,,2:19:18,"Miami, USA",Miami; FL,city / area
236,1,,2:19:19,Haiti,Haiti,country
237,1,,2:19:24,"Montreal, Canada",Montreal; Qc,city / area
238,1,,2:20:12,North America,North America,continent
239,1,,2:20:40,"Miami, USA",Miami; FL,city / area
240,1,,2:20:41,Haiti,Haiti,country
241,1,,2:20:48,"Montreal, Canada",Montreal; Qc,city / area
242,1,,2:20:57,Haiti,Haiti,country
243,1,,2:21:12,Haiti,Haiti,country
244,1,,2:21:13,"Miami, USA",Miami; FL,city / area
245,1,,2:21:18,"Miami, USA",Miami; FL,city / area
246,1,,2:21:41,Haiti,Haiti,country
247,1,,2:22:12,Haiti,Haiti,country
248,1,,2:22:23,Haiti,Haiti,country
249,1,,2:23:05,Haiti,Haiti,country
250,1,,2:23:40,Haiti,Haiti,country
251,1,,2:26:03,Haiti,Haiti,country
252,1,,2:26:35,Haiti,Haiti,country
253,1,,2:33:04,Haiti,Haiti,country
254,1,,2:33:11,Haiti,Haiti,country
255,1,,2:34:01,Haiti,Haiti,country
256,1,,2:34:18,"Quebec, Canada",Quebec,region
257,1,,2:34:19,"Montreal, Canada",Montreal; Qc,city / area
258,1,,2:34:54,"Quebec, Canada",Quebec,region
259,1,,2:35:20,"Montreal, Canada",Montreal; Qc,city / area
260,1,,2:35:26,Haiti,Haiti,country
261,1,,2:35:30,Haiti,Haiti,country
262,1,,2:35:41,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
263,1,,2:35:46,"La Source (?), Marchand Dessalines, Haiti",La Source (sp?); Marchand Dessalines; Haiti,local
264,1,,2:35:49,"Bohai (?), Marchand Dessalines, Haiti",Bohai (sp?); Marchand Dessalines; Haiti,local
265,1,,2:36:31,Haiti,Haiti,country
266,1,,2:37:42,Haiti,Haiti,country
267,1,,2:39:04,"Quebec, Canada",Quebec,region
268,1,,2:40:03,"Quebec, Canada",Quebec,region
269,1,,2:40:53,"Quebec, Canada",Quebec,region
270,1,,2:43:09,Haiti,Haiti,country
271,1,,2:45:29,Haiti,Haiti,country
272,1,,2:54:45,Rwanda,Rwanda,country
273,1,,2:54:49,Africa,Africa,continent
274,1,,2:55:53,Haiti,Haiti,country
275,1,,2:56:46,Haiti,Haiti,country
276,1,,2:58:04,"Quebec, Canada",Quebec,region
277,1,,3:02:22,Haiti,Haiti,country
278,1,,3:02:33,Haiti,Haiti,country
279,1,,3:03:16,Japan,Japan,country
280,1,,3:03:20,"Hiroshima, Japan",Hiroshima; Japan,city / area
281,1,,3:03:21,"Nagasaki, Japan",Nagasaki; Japan,city / area
282,1,,3:04:35,Haiti,Haiti,country
