id,Session #,Clip Time mentioned (h:mm:ss),Cumulative Time Mentioned (h:mm:ss),Atlascine-location,Location,Scale
75,1,0:20:14,0:20:14,Chile,Chile,country
76,1,0:21:36,0:21:36,"University of Santiago, Santiago, Chile",University of Santiago; Santiago; Chile,very local
77,1,0:22:05,0:22:05,"Santiago, Chile",Santiago; Chile,city / area
78,1,0:22:07,0:22:07,"Santiago, Chile",Santiago; Chile,city / area
79,1,0:22:50,0:22:50,Latin America,Latin America,continent
80,1,0:23:05,0:23:05,Chile,Chile,country
81,1,0:24:04,0:24:04,"Chiloé Island, Chile",Chiloé Island; Chile,city / area
82,1,0:29:14,0:29:14,Peru,Peru,country
83,1,0:29:17,0:29:17,Peru,Peru,country
84,1,0:29:24,0:29:24,Peru,Peru,country
85,1,0:29:27,0:29:27,Canada,Canada,country
86,1,0:29:33,0:29:33,Europe,Europe,continent
87,1,0:29:35,0:29:35,Canada,Canada,country
88,1,0:29:38,0:29:38,Canada,Canada,country
89,1,0:29:40,0:29:40,France,France,country
90,1,0:29:42,0:29:42,France,France,country
91,1,0:29:43,0:29:43,France,France,country
92,1,0:29:47,0:29:47,France,France,country
93,1,0:29:49,0:29:49,Switzerland,Switzerland,country
94,1,0:29:58,0:29:58,"Paris, France",Paris; France,city / area
95,1,0:29:58,0:29:58,"Paris, France",Switzerland,country
96,1,0:29:59,0:29:59,Switzerland,Switzerland,country
97,1,0:30:04,0:30:04,Switzerland,Switzerland,country
98,1,0:30:05,0:30:05,Switzerland,Switzerland,country
99,1,0:30:10,0:30:10,Switzerland,Switzerland,country
100,1,0:30:15,0:30:15,Europe,Europe,continent
101,1,0:30:17,0:30:17,Europe,Europe,continent
102,1,0:30:18,0:30:18,Europe,Europe,continent
103,1,0:30:24,0:30:24,Canada,Canada,country
104,1,0:30:45,0:30:45,Canada,Canada,country
105,1,0:30:48,0:30:48,France,France,country
106,1,0:30:48,0:30:48,France,Switzerland,country
107,1,0:30:52,0:30:52,Switzerland,Switzerland,country
108,1,0:31:10,0:31:10,Canada,Canada,country
109,1,0:31:13,0:31:13,Canada,Canada,country
110,1,0:31:18,0:31:18,Europe,Europe,continent
111,1,0:31:24,0:31:24,Switzerland,Switzerland,country
112,1,0:31:30,0:31:30,Canada,Canada,country
113,1,0:31:36,0:31:36,"Montreal, Canada",Montreal; Canada,city / area
114,1,0:31:40,0:31:40,"Montreal, Canada",Montreal; Canada,city / area
115,1,0:31:44,0:31:44,Haiti,Haiti,country
116,1,0:31:46,0:31:46,"Montreal, Canada",Montreal; Canada,city / area
117,1,0:32:19,0:32:19,Chile,Chile,country
118,1,0:32:35,0:32:35,Mexico,Mexico,country
119,1,0:32:39,0:32:39,Chile,Chile,country
120,1,0:32:46,0:32:46,Canada,Canada,country
121,1,0:32:48,0:32:48,Mexico,Mexico,country
122,1,0:32:50,0:32:50,Mexico,Mexico,country
123,1,0:33:00,0:33:00,Mexico,Mexico,country
124,1,0:33:05,0:33:05,Haiti,Haiti,country
125,1,0:33:14,0:33:14,Haiti,Haiti,country
126,1,0:33:24,0:33:24,Haiti,Haiti,country
127,1,0:34:18,0:34:18,Haiti,Haiti,country
128,1,0:34:55,0:34:55,Haiti,Haiti,country
129,1,0:35:08,0:35:08,Mexico,Mexico,country
130,1,0:35:10,0:35:10,Haiti,Haiti,country
131,1,0:35:20,0:35:20,Haiti,Haiti,country
132,1,0:36:26,0:36:26,Haiti,Haiti,country
133,1,0:36:39,0:36:39,Canada,Canada,country
134,1,0:36:42,0:36:42,Canada,Canada,country
135,1,0:36:51,0:36:51,"Montreal, Canada",Montreal; Canada,city / area
136,1,0:37:50,0:37:50,Haiti,Haiti,country
137,1,0:37:52,0:37:52,Haiti,Haiti,country
138,1,0:38:14,0:38:14,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local
139,1,0:38:57,0:38:57,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local
140,1,0:39:06,0:39:06,Haiti,Haiti,country
141,1,0:39:24,0:39:24,Haiti,Haiti,country
142,1,0:39:44,0:39:44,Haiti,Haiti,country
143,1,0:41:10,0:41:10,Haiti,Haiti,country
144,1,0:41:56,0:41:56,"Montreal, Canada",Montreal; Canada,city / area
145,1,0:41:58,0:41:58,"Montreal, Canada",Montreal; Canada,city / area
146,1,0:41:59,0:41:59,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
147,1,0:42:02,0:42:02,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local
148,1,0:42:05,0:42:05,"Conseil des Arts de Montréal, Montreal, Canada",Conseil des Arts de Montréal; Montreal; Canada,very local
149,1,0:42:16,0:42:16,"Conseil interculturel de Montréal, Montreal, Canada",Conseil interculturel de Montréal; Montreal; Canada,very local
150,1,0:42:46,0:42:46,Haiti,Haiti,country
151,1,0:42:47,0:42:47,"Montreal, Canada",Montreal; Canada,city / area
152,1,0:43:02,0:43:02,Haiti,Haiti,country
153,1,0:43:37,0:43:37,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
154,1,0:43:39,0:43:39,"Montreal, Canada",Montreal; Canada,city / area
155,1,0:43:43,0:43:43,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
156,1,0:43:44,0:43:44,"Chicoutimi, Canada",Chicoutimi; Canada,city / area
157,1,0:44:03,0:44:03,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
158,1,0:44:26,0:44:26,Haiti,Haiti,country
159,1,0:44:36,0:44:36,Haiti,Haiti,country
160,1,0:44:46,0:44:46,"Quebec, Canada",Quebec; Canada,region
161,1,0:44:56,0:44:56,Haiti,Haiti,country
162,1,0:44:57,0:44:57,Haiti,Haiti,country
163,1,0:45:17,0:45:17,Haiti,Haiti,country
164,1,0:45:27,0:45:27,Haiti,Haiti,country
165,1,0:45:48,0:45:48,Haiti,Haiti,country
166,1,0:45:57,0:45:57,Haiti,Haiti,country
167,1,0:46:05,0:46:05,Haiti,Haiti,country
168,1,0:46:07,0:46:07,Haiti,Haiti,country
169,1,0:46:15,0:46:15,Haiti,Haiti,country
170,1,0:46:31,0:46:31,Haiti,Haiti,country
171,1,0:47:42,0:47:42,Canada,Canada,country
172,1,0:47:51,0:47:51,Haiti,Haiti,country
173,1,0:48:00,0:48:00,Haiti,Haiti,country
174,1,0:48:07,0:48:07,Haiti,Haiti,country
175,1,0:48:07,0:48:07,Haiti,Canada,country
176,1,0:48:26,0:48:26,Haiti,Haiti,country
177,1,0:48:36,0:48:36,Haiti,Haiti,country
178,1,0:48:37,0:48:37,Haiti,Haiti,country
179,1,0:49:23,0:49:23,Haiti,Haiti,country
180,1,0:49:29,0:49:29,Haiti,Haiti,country
181,1,0:50:14,0:50:14,"Montreal, Canada",Montreal; Canada,city / area
182,1,0:50:19,0:50:19,"Montreal, Canada",Montreal; Canada,city / area
183,1,0:50:25,0:50:25,"Quebec, Canada",Quebec; Canada,region
184,1,0:50:26,0:50:26,"Montreal, Canada",Montreal; Canada,city / area
185,1,0:50:29,0:50:29,"Montreal, Canada",Montreal; Canada,city / area
186,1,0:50:43,0:50:43,"Montreal, Canada",Montreal; Canada,city / area
187,1,0:50:48,0:50:48,"New York City, USA",New York City; USA,city / area
188,1,0:50:58,0:50:58,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
189,1,0:51:01,0:51:01,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
190,2,0:01:57,0:54:22,Chile,Chile,country
191,2,0:02:09,0:54:34,Haiti,Haiti,country
192,2,0:02:50,0:55:15,Haiti,Haiti,country
193,2,0:02:57,0:55:22,Haiti,Haiti,country
194,2,0:03:04,0:55:29,Haiti,Haiti,country
195,2,0:03:05,0:55:30,Haiti,Haiti,country
196,2,0:03:17,0:55:42,Haiti,Haiti,country
197,2,0:04:10,0:56:35,Haiti,Haiti,country
198,2,0:06:26,0:58:51,Haiti,Haiti,country
199,2,0:07:52,1:00:17,Haiti,Haiti,country
200,2,0:08:12,1:00:37,Haiti,Haiti,country
201,2,0:09:26,1:01:51,"New York City, USA",New York City; USA,city / area
202,2,0:09:28,1:01:53,"Miami, USA",Miami; USA,city / area
203,2,0:09:33,1:01:58,Haiti,Haiti,country
204,2,0:10:15,1:02:40,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,country
205,2,0:12:20,1:04:45,"Quebec, Canada",Quebec; Canada,region
206,2,0:12:28,1:04:53,Canada,Canada,country
207,2,0:13:36,1:06:01,"Pénitentier National, Port-au-Prince, Haiti",Pénitentier National; Port-au-Prince; Haiti,very local
208,2,0:13:37,1:06:02,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local
209,2,0:15:25,1:07:50,"Pierre Elliott Trudeau International Airport, Montreal, Canada",Pierre Elliott Trudeau International Airport; Montreal; Canada,very local
210,2,0:15:26,1:07:51,"Montreal, Canada",Montreal; Canada,city / area
211,2,0:18:21,1:10:46,"Montreal, Canada",Montreal; Canada,city / area
212,2,0:18:23,1:10:48,"Montreal, Canada",Montreal; Canada,city / area
213,2,0:18:30,1:10:55,"BCHM, Montreal, Canada",Bureau de la communauté haitienne de Montréal; Montreal; Canada,very local
214,2,0:19:05,1:11:30,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
215,2,0:19:27,1:11:52,France,France,country
216,2,0:21:24,1:13:49,"Montreal, Canada",Montreal; Canada,city / area
217,2,0:21:44,1:14:09,"Montreal, Canada",Montreal; Canada,city / area
218,2,0:22:55,1:15:20,Haiti,Haiti,country
219,2,0:23:36,1:16:01,"Montreal, Canada",Montreal; Canada,city / area
220,2,0:23:39,1:16:04,Haiti,Haiti,country
221,2,0:24:03,1:16:28,"Montreal, Canada",Montreal; Canada,city / area
222,2,0:24:33,1:16:58,Canada,Canada,country
223,2,0:26:48,1:19:13,"Quebec, Canada",Quebec; Canada,region
224,2,0:26:52,1:19:17,"Quebec, Canada",Quebec; Canada,region
225,2,0:26:53,1:19:18,"Quebec, Canada",Quebec; Canada,region
226,2,0:26:55,1:19:20,Haiti,Haiti,country
227,2,0:27:04,1:19:29,"Quebec, Canada",Quebec; Canada,region
228,2,0:27:10,1:19:35,"Quebec, Canada",Quebec; Canada,region
229,2,0:27:11,1:19:36,Canada,Canada,country
230,2,0:29:24,1:21:49,"Montreal, Canada",Montreal; Canada,city / area
231,2,0:29:24,1:21:49,"Montreal, Canada",Montreal; Canada,city / area
232,2,0:29:27,1:21:52,Haiti,Haiti,country
233,2,0:29:38,1:22:03,"Montreal, Canada",Montreal; Canada,city / area
234,2,0:29:57,1:22:22,"Maison d'Haiti, Montreal, Canada",Maison d'Haïti; Montreal; Canada,very local
235,2,0:29:57,1:22:22,"Maison d'Haiti, Montreal, Canada",Bureau de la communauté haitienne de Montréal; Montreal; Canada,very local
236,2,0:30:09,1:22:34,"Maison d'Haiti, Montreal, Canada",Maison d'Haïti; Montreal; Canada,very local
237,2,0:30:31,1:22:56,"Montreal, Canada",Montreal; Canada,city / area
238,2,0:31:03,1:23:28,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local
239,2,0:31:36,1:24:01,"Montreal, Canada",Montreal; Canada,city / area
240,2,0:31:50,1:24:15,"Quebec, Canada",Quebec; Canada,region
241,2,0:31:53,1:24:18,"Quebec, Canada",Quebec; Canada,region
242,2,0:31:54,1:24:19,"Quebec, Canada",Quebec; Canada,region
243,2,0:32:21,1:24:46,"Quebec, Canada",Quebec; Canada,region
244,2,0:32:23,1:24:48,"Montreal, Canada",Montreal; Canada,city / area
245,2,0:32:34,1:24:59,"Montreal, Canada",Montreal; Canada,city / area
246,2,0:32:39,1:25:04,France,France,country
247,2,0:32:40,1:25:05,USA,USA,country
248,2,0:32:41,1:25:06,"New York City, USA",New York City; USA,city / area
249,2,0:32:44,1:25:09,"New York City, USA",New York City; USA,city / area
250,2,0:32:53,1:25:18,"Montreal, Canada",Montreal; Canada,city / area
251,2,0:33:06,1:25:31,"Montreal, Canada",Montreal; Canada,city / area
252,2,0:33:09,1:25:34,North America,North America,continent
253,2,0:33:29,1:25:54,"New York City, USA",New York City; USA,city / area
254,2,0:33:31,1:25:56,"Montreal, Canada",Montreal; Canada,city / area
255,2,0:33:31,1:25:56,"New York City, USA",New York City; USA,city / area
256,2,0:34:07,1:26:32,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local
257,2,0:35:46,1:28:11,Haiti,Haiti,country
258,2,0:36:08,1:28:33,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local
259,2,0:36:36,1:29:01,Haiti,Haiti,country
260,2,0:36:46,1:29:11,"Quebec, Canada",Quebec; Canada,region
261,2,0:37:01,1:29:26,Haiti,Haiti,country
262,2,0:37:14,1:29:39,Haiti,Haiti,country
263,2,0:37:26,1:29:51,Caribbean,Caribbean,continent
264,3,0:01:03,1:31:20,Haiti,Haiti,country
265,3,0:03:28,1:33:45,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local
266,3,0:03:37,1:33:54,Switzerland,Switzerland,country
267,3,0:03:38,1:33:55,Canada,Canada,country
268,3,0:03:39,1:33:56,Haiti,Haiti,country
269,3,0:03:53,1:34:10,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local
270,3,0:04:18,1:34:35,Haiti,Haiti,country
271,3,0:04:22,1:34:39,Haiti,Haiti,country
272,3,0:05:02,1:35:19,Europe,Europe,continent
273,3,0:05:28,1:35:45,The Vatican,The Vatican,country
274,3,0:06:42,1:36:59,"Province, Haiti",Province; Haiti,city / area
275,3,0:06:45,1:37:02,"Aquin, Haiti",Aquin; Haiti,city / area
276,3,0:07:08,1:37:25,"Province, Haiti",Province; Haiti,city / area
277,3,0:07:33,1:37:50,Guadeloupe,Guadeloupe,country
278,3,0:07:33,1:37:50,Guadeloupe,Martinique,country
279,3,0:08:31,1:38:48,"Aquin, Haiti",Aquin; Haiti,city / area
280,3,0:08:40,1:38:57,"Province, Haiti",Province; Haiti,city / area
281,3,0:09:43,1:40:00,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
282,3,0:09:45,1:40:02,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
283,3,0:09:50,1:40:07,"Bas peu de choses, Port-au-Prince, Haiti",Bas peu de choses; Port-au-Prince; Haiti,local
284,3,0:09:51,1:40:08,"Bas peu de choses, Port-au-Prince, Haiti",Bas peu de choses; Port-au-Prince; Haiti,local
285,3,0:09:54,1:40:11,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
286,3,0:09:56,1:40:13,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
287,3,0:10:14,1:40:31,"Route des Dalles, Port-au-Prince, Haiti",Route des Dalles; Port-au-Prince; Haiti,very local
288,3,0:10:49,1:41:06,"Côte Plage, Haiti",Côte Plage; Haiti,local
289,3,0:15:05,1:45:22,Haiti,Haiti,country
290,3,0:16:03,1:46:20,"Montreal, Canada",Montreal; Canada,city / area
291,3,0:18:36,1:48:53,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
292,3,0:19:47,1:50:04,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
293,3,0:19:52,1:50:09,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
294,3,0:19:56,1:50:13,Haiti,Haiti,country
295,3,0:22:40,1:52:57,Haiti,Haiti,country
296,3,0:22:50,1:53:07,France,France,country
297,3,0:22:54,1:53:11,France,France,country
298,3,0:22:55,1:53:12,Latin America,Latin America,continent
299,3,0:22:57,1:53:14,Latin America,Latin America,continent
300,3,0:23:04,1:53:21,Chile,Chile,country
301,3,0:26:12,1:56:29,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
302,3,0:26:35,1:56:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
303,3,0:26:36,1:56:53,"Santiago, Chile",Santiago; Chile,city / area
304,3,0:26:38,1:56:55,"Montreal, Canada",Montreal; Canada,city / area
305,3,0:26:58,1:57:15,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
306,3,0:27:00,1:57:17,"Bicentennaire, Port-au-Prince, Haiti",Bicentennaire; Port-au-Prince; Haiti,very local
307,3,0:27:40,1:57:57,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
308,3,0:27:48,1:58:05,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
309,3,0:27:57,1:58:14,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local
310,3,0:27:59,1:58:16,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local
311,3,0:28:37,1:58:54,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local
312,3,0:29:26,1:59:43,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
313,3,0:30:58,2:01:15,"Toronto, Canada",Toronto; Canada,city / area
314,3,0:31:37,2:01:54,"Rue Marcelin, Port-au-Prince, Haiti",Rue Marcelin; Port-au-Prince; Haiti,very local
315,3,0:32:16,2:02:33,"Santiago, Chile",Santiago; Chile,city / area
316,3,0:32:19,2:02:36,"Santiago, Chile",Santiago; Chile,city / area
317,3,0:32:22,2:02:39,Chile,Chile,country
318,3,0:32:24,2:02:41,Chile,Chile,country
319,3,0:32:27,2:02:44,Chile,Chile,country
320,3,0:32:30,2:02:47,"Pedro de Valdivia Norte, Santiago, Chile",Pedro de Valdivia Norte; Santiago; Chile,local
321,3,0:32:35,2:02:52,"San Cristobal Hill, Santiago, Chile",San Cristobal Hill; Santiago; Chile,local
322,3,0:32:37,2:02:54,"San Cristobal Hill, Santiago, Chile",San Cristobal Hill; Santiago; Chile,local
323,3,0:32:45,2:03:02,"Catedral, Santiago, Chile",Catedral; Santiago; Chile,very local
324,3,0:32:48,2:03:05,"Santiago, Chile",Santiago; Chile,city / area
325,3,0:32:51,2:03:08,"Vicuña Mackenna, Santiago, Chile",Vicuña Mackenna; Santiago; Chile,local
326,3,0:32:57,2:03:14,"Pedro de Valdivia Norte, Santiago, Chile",Pedro de Valdivia Norte; Santiago; Chile,local
327,3,0:33:04,2:03:21,"Ñuñoa, Santiago, Chile",Ñuñoa; Santiago; Chile,local
328,3,0:33:23,2:03:40,"Card Jose Maria Caro, Lo Espejo, Santiago, Chile",Card Jose Maria Caro; Lo Espejo; Santiago; Chile,local
329,3,0:33:34,2:03:51,"Card Jose Maria Caro, Lo Espejo, Santiago, Chile",Card Jose Maria Caro; Lo Espejo; Santiago; Chile,local
330,3,0:33:48,2:04:05,Chile,Chile,country
331,3,0:34:03,2:04:20,"Montreal, Canada",Montreal; Canada,city / area
332,3,0:34:14,2:04:31,"Montreal, Canada",Montreal; Canada,city / area
333,3,0:34:21,2:04:38,"Rue Isabella, Montreal, Canada",Rue Isabella; Montreal; Canada,very local
334,3,0:34:24,2:04:41,"Rue St Denis, Montreal, Canada",Rue St Denis; Montreal; Canada,very local
335,3,0:34:25,2:04:42,"Square Saint-Louis, Montreal, Canada",Square Saint-Louis; Montreal; Canada,very local
336,3,0:34:30,2:04:47,"Montreal, Canada",Montreal; Canada,city / area
337,3,0:34:31,2:04:48,"Rue Molson, Montreal, Canada",Rue Molson; Montreal; Canada,very local
338,3,0:34:32,2:04:49,"Parc Molson, Montreal, Canada",Parc Molson; Montreal; Canada,very local
339,3,0:34:36,2:04:53,"Rue Souart, Montreal, Canada",Rue Souart; Montreal; Canada,very local
340,3,0:34:39,2:04:56,"Montreal, Canada",Montreal; Canada,city / area
341,3,0:34:44,2:05:01,"Westmount, Canada",Westmount; Canada,local
342,3,0:34:45,2:05:02,"Rue Souart, Montreal, Canada",Rue Souart; Montreal; Canada,very local
343,3,0:34:47,2:05:04,"Avenue Decelles, Montreal, Canada",Avenue Decelles; Montreal; Canada,very local
344,3,0:34:49,2:05:06,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local
345,3,0:34:55,2:05:12,"Montreal, Canada",Montreal; Canada,city / area
346,3,0:35:04,2:05:21,"Montreal, Canada",Montreal; Canada,city / area
347,3,0:35:08,2:05:25,"Olympic Stadium, Montreal, Canada",Olympic Stadium; Montreal; Canada,very local
348,3,0:35:10,2:05:27,"Rosemont, Montreal, Canada",Rosemont; Montreal; Canada,local
349,3,0:35:12,2:05:29,"Downtown, Montreal, Canada",Downtown; Montreal; Canada,local
350,3,0:35:14,2:05:31,"Rue Milton, Montreal, Canada",Rue Milton; Montreal; Canada,very local
351,3,0:35:15,2:05:32,"Milton-Parc, Montreal, Canada",Milton-Parc; Montreal; Canada,local
352,3,0:35:19,2:05:36,"Côte-des-Neiges, Montreal, Canada",Côte-des-Neiges; Montreal; Canada,local
353,3,0:35:27,2:05:44,"Station Vendôme, Montreal, Canada",Station Vendôme; Montreal; Canada,very local
354,3,0:35:30,2:05:47,"Outremont, Montreal, Canada",Outremont; Montreal; Canada,local
355,3,0:35:34,2:05:51,"Notre-Dame-de Grâce, Montreal, Canada",Notre-Dame-de Grâce; Montreal; Canada,local
356,3,0:35:41,2:05:58,"Laval, Canada",Laval; Canada,city / area
357,3,0:35:44,2:06:01,"Laval, Canada",Laval; Canada,city / area
358,3,0:35:48,2:06:05,"South Shore Canal, St-Lambert, Canada",South Shore Canal; St-Lambert; Canada,very local
359,3,0:35:55,2:06:12,"Montreal, Canada",Montreal; Canada,city / area
360,3,0:36:14,2:06:31,"Montreal, Canada",Montreal; Canada,city / area
361,3,0:36:27,2:06:44,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
362,3,0:36:32,2:06:49,"Vieux-Montréal, Montreal, Canada",Vieux-Montréal; Montreal; Canada,local
363,3,0:36:34,2:06:51,"Vieux-Montréal, Montreal, Canada",Vieux-Montréal; Montreal; Canada,local
364,3,0:37:09,2:07:26,"Rue St Denis, Montreal, Canada",Rue St Denis; Montreal; Canada,very local
365,3,0:37:10,2:07:27,"Latin Quarter, Montreal, Canada",Latin Quarter; Montreal; Canada,local
