id,Session #,Clip Time mentioned (h:mm:ss),Cumulative Time Mentioned (h:mm:ss),Atlascine-location,Location,Scale
88,2,0:07:17,1:22:34,"Bukavu, Democratic Republic of Congo",Bukavu; Democratic Republic of Congo,city / area
89,2,0:07:28,1:22:45,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
90,2,0:07:37,1:22:54,Burundi,Burundi,country
91,2,0:08:33,1:23:50,Germany,Germany,country
92,2,0:08:47,1:24:04,Burundi,Burundi,country
93,2,0:08:53,1:24:10,Germany,Germany,country
94,2,0:08:55,1:24:12,Burundi,Burundi,country
95,2,0:09:03,1:24:20,Burundi,Burundi,country
96,2,0:09:29,1:24:46,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
97,2,0:09:31,1:24:48,"Brussels, Belgium",Brussels; Belgium,city / area
98,2,0:09:32,1:24:49,"Brussels, Belgium",Brussels; Belgium,city / area
99,2,0:09:33,1:24:50,"Cologne, Germany",Cologne; Germany,city / area
100,2,0:09:49,1:25:06,Germany,Germany,country
101,2,0:10:38,1:25:55,Germany,Germany,country
102,2,0:11:51,1:27:08,"Nuremberg, Germany",Nuremberg; Germany,city / area
103,2,0:12:14,1:27:31,Rwanda,Rwanda,country
104,2,0:12:15,1:27:32,Germany,Germany,country
105,2,0:12:21,1:27:38,Rwanda,Rwanda,country
106,2,0:12:24,1:27:41,Germany,Germany,country
107,2,0:13:41,1:28:58,Germany,Germany,country
108,2,0:14:09,1:29:26,Germany,Germany,country
109,2,0:14:50,1:30:07,Burundi,Burundi,country
110,2,0:18:23,1:33:40,Rwanda,Rwanda,country
111,2,0:18:41,1:33:58,Germany,Germany,country
112,2,0:18:48,1:34:05,Belgium,Belgium,country
113,2,0:18:51,1:34:08,Canada,Canada,country
114,2,0:18:53,1:34:10,Germany,Germany,country
115,2,0:19:27,1:34:44,Rwanda,Rwanda,country
116,2,0:19:38,1:34:55,Rwanda,Rwanda,country
117,2,0:20:08,1:35:25,Canada,Canada,country
118,2,0:20:12,1:35:29,Rwanda,Rwanda,country
119,2,0:20:18,1:35:35,Democratic Republic of Congo,Democratic Republic of Congo,country
120,2,0:20:27,1:35:44,Germany,Germany,country
121,2,0:21:19,1:36:36,Canada,Canada,country
122,2,0:21:24,1:36:41,Canada,Canada,country
123,2,0:22:27,1:37:44,Canada,Canada,country
124,2,0:23:29,1:38:46,Canada,Canada,country
125,2,0:23:31,1:38:48,Germany,Germany,country
126,2,0:23:32,1:38:49,Canada,Canada,country
127,2,0:23:49,1:39:06,"Dorval, Montreal, Canada",Dorval; Montreal; Qc,local
128,2,0:23:57,1:39:14,"New York, USA", New York; USA,city / area
129,2,0:23:58,1:39:15,"Dorval, Montreal, Canada",Dorval; Montreal; Qc,local
130,2,0:24:06,1:39:23,"Ste-Anne-de-la-Pérade, Canada",Ste-Anne-de-la-Pérade; Quebec,local
131,2,0:24:08,1:39:25,"Ste-Anne-de-la-Pérade, Canada",Ste-Anne-de-la-Pérade; Quebec,local
132,2,0:24:11,1:39:28,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area
133,2,0:24:54,1:40:11,"Mirabel, Canada",Mirabel; Quebec,city / area
134,2,0:24:55,1:40:12,"Mirabel, Canada",Mirabel; Quebec,city / area
135,2,0:24:58,1:40:15,"Mirabel, Canada",Mirabel; Quebec,city / area
136,2,0:25:01,1:40:18,"Mirabel, Canada",Mirabel; Quebec,city / area
137,2,0:25:04,1:40:21,"Mirabel, Canada",Mirabel; Quebec,city / area
138,2,0:25:06,1:40:23,"Mirabel, Canada",Mirabel; Quebec,city / area
139,2,0:25:25,1:40:42,"Florida, USA",Florida; US,region
140,2,0:25:31,1:40:48,"Ste-Anne-de-la-Pérade, Canada",Ste-Anne-de-la-Pérade; Quebec,local
141,2,0:25:40,1:40:57,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area
142,2,0:25:48,1:41:05,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area
143,2,0:25:50,1:41:07,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area
144,2,0:25:52,1:41:09,"Ste-Anne-de-la-Pérade, Canada",Ste-Anne-de-la-Pérade; Quebec,local
145,2,0:25:59,1:41:16,"Michaël Rossy Ltée, Trois-Rivières, Canada",Michaël Rossy Ltée; Trois-Rivières; Quebec,very local
146,2,0:26:01,1:41:18,"Michaël Rossy Ltée, Trois-Rivières, Canada",Michaël Rossy Ltée; Trois-Rivières; Quebec,very local
147,2,0:26:02,1:41:19,"Michaël Rossy Ltée, Trois-Rivières, Canada",Michaël Rossy Ltée; Trois-Rivières; Quebec,very local
148,2,0:28:17,1:43:34,Canada,Canada,country
149,2,0:28:59,1:44:16,Germany,Germany,country
150,2,0:29:03,1:44:20,Germany,Germany,country
151,2,0:30:03,1:45:20,"Montreal, Canada",Montreal; Qc,city / area
152,2,0:30:05,1:45:22,"Montreal, Canada",Montreal; Qc,city / area
153,2,0:31:34,1:46:51,"Outremont, Montreal, Canada",Outremont; Montreal; Qc,local
154,2,0:33:04,1:48:21,Germany,Germany,country
155,2,0:34:00,1:49:17,Africa,Africa,continent
156,2,0:34:05,1:49:22,"CECI, Montreal, Canada",CECI; Montreal; Qc,very local
157,2,0:34:11,1:49:28,Africa,Africa,continent
158,2,0:35:55,1:51:12,Rwanda,Rwanda,country
159,2,0:36:11,1:51:28,Rwanda,Rwanda,country
160,2,0:36:18,1:51:35,"Quebec, Canada",Quebec; Canada,region
161,2,0:36:59,1:52:16,Rwanda,Rwanda,country
162,2,0:37:04,1:52:21,Rwanda,Rwanda,country
163,2,0:37:13,1:52:30,Rwanda,Rwanda,country
164,2,0:37:27,1:52:44,Rwanda,Rwanda,country
165,2,0:37:43,1:53:00,Rwanda,Rwanda,country
166,2,0:41:48,1:57:05,Rwanda,Rwanda,country
167,2,0:43:08,1:58:25,Rwanda,Rwanda,country
168,2,0:45:20,2:00:37,Rwanda,Rwanda,country
169,2,0:45:22,2:00:39,Germany,Germany,country
170,2,0:46:18,2:01:35,"Montreal, Canada",Montreal; Qc,city / area
171,2,0:47:00,2:02:17,France,France,country
172,2,0:47:21,2:02:38,"Montreal, Canada",Montreal; Qc,city / area
173,2,0:47:42,2:02:59,Africa,Africa,continent
174,2,0:48:04,2:03:21,Africa,Africa,continent
175,2,0:50:00,2:05:17,"Montreal, Canada",Montreal; Qc,city / area
176,2,0:50:17,2:05:34,Africa,Africa,continent
177,2,0:50:21,2:05:38,Africa,Africa,continent
178,2,0:50:30,2:05:47,Canada,Canada,country
179,2,0:50:37,2:05:54,Canada,Canada,country
180,2,0:53:18,2:08:35,Egypt,Egypte,country
181,2,0:53:22,2:08:39,Rwanda,Rwanda,country
182,2,0:53:37,2:08:54,Rwanda,Rwanda,country
183,2,0:53:38,2:08:55,Rwanda,Rwanda,country
184,2,0:53:41,2:08:58,Rwanda,Rwanda,country
185,2,0:59:52,2:15:09,"Montreal, Canada",Montreal; Qc,city / area
186,2,1:02:04,2:17:21,Rwanda,Rwanda,country
187,2,1:05:54,2:21:11,Rwanda,Rwanda,country
188,2,1:08:08,2:23:25,Rwanda,Rwanda,country
189,2,1:11:11,2:26:28,Rwanda,Rwanda,country
190,2,1:12:43,2:28:00,Rwanda,Rwanda,country
