id,Session #,Story unit #,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Cumulative Time Start (h:mm:ss),Cumulative Time End (h:mm:ss),Atlascine-location,Location,Scale,Journey
30,1,30,0:30:15,0:31:12,0:30:15,0:31:12,"Butare, Rwanda","Butare, Rwanda",city / area,
31,1,31,0:31:12,0:31:23,0:31:12,0:31:23,Rwanda,Rwanda,country,
32,1,32,0:31:23,0:32:19,0:31:23,0:32:19,"Butare, Rwanda","Butare, Rwanda",city / area,
33,1,33,0:32:19,0:32:25,0:32:19,0:32:25,Rwanda,Rwanda,country,
34,1,34,0:32:25,0:33:04,0:32:25,0:33:04,"Butare, Rwanda","Butare, Rwanda",city / area,
35,1,35,0:33:04,0:33:17,0:33:04,0:33:17,"Butare, Rwanda","Butare, Rwanda",city / area,
36,1,36,0:33:17,0:35:00,0:33:17,0:35:00,"Butare, Rwanda","Butare, Rwanda",city / area,
37,1,37,0:35:00,0:35:11,0:35:00,0:35:11,"Nyanza, Rwanda","Nyanza, Rwanda",local,
38,1,38,0:35:11,0:37:26,0:35:11,0:37:26,"Nyanza, Rwanda","Nyanza, Rwanda",local,
39,1,39,0:37:26,0:37:58,0:37:26,0:37:58,"Nyanza, Rwanda","Nyanza, Rwanda",local,
40,1,40,0:37:58,0:40:18,0:37:58,0:40:18,"Butare, Rwanda","Butare, Rwanda",city / area,
41,1,41,0:40:18,0:40:55,0:40:18,0:40:55,Rwanda,Rwanda,country,
42,1,42,0:40:55,0:43:41,0:40:55,0:43:41,Rwanda,Rwanda,country,
43,1,43,0:43:41,0:43:48,0:43:41,0:43:48,Rwanda,Rwanda,country,
44,1,44,0:43:48,0:44:10,0:43:48,0:44:10,Rwanda,Rwanda,country,
45,1,45,0:44:10,0:45:13,0:44:10,0:45:13,Rwanda,Rwanda,country,
46,1,46,0:45:13,0:45:16,0:45:13,0:45:16,Rwanda,Rwanda,country,
47,1,47,0:45:16,0:46:38,0:45:16,0:46:38,Rwanda,Rwanda,country,
48,1,48,0:46:38,0:46:42,0:46:38,0:46:42,Rwanda,Rwanda,country,
49,1,49,0:46:42,0:48:45,0:46:42,0:48:45,Rwanda,Rwanda,country,
50,1,50,0:48:45,0:48:55,0:48:45,0:48:55,Rwanda,Rwanda,country,
51,1,51,0:48:55, 0:49:52,0:48:55,0:49:52,Rwanda,Rwanda,country,
52,1,52, 0:49:52,0:49:57,0:49:52,0:49:57,Rwanda,Rwanda,country,
53,1,53,0:49:57,0:52:20,0:49:57,0:52:20,"Kigali, Rwanda","Kigali, Rwanda",city / area,
54,1,54,0:52:20,0:55:05,0:52:20,0:55:05,"Kigali, Rwanda","Kigali, Rwanda",city / area,
55,,55,0:55:05,0:55:47,0:55:05,0:55:47,Rwanda,Rwanda,country,
56,1,56,0:55:47,0:57:15,0:55:47,0:57:15,Rwanda,Rwanda,country,
57,1,57,0:57:15,0:57:23,0:57:15,0:57:23,Rwanda ,Rwanda; Democratic Republic of Congo,country,
58,,,,,0:57:15,0:57:23,Democratic Republic of Congo,,country,
59,1,58,0:57:23,0:57:55,0:57:23,0:57:55,Rwanda,Rwanda,country,
60,1,59,0:57:55,0:57:57,0:57:55,0:57:57,"Kigali, Rwanda","Kigali, Rwanda",city / area,
61,1,60,0:57:57,0:59:30,0:57:57,0:59:30,"Kigali, Rwanda","Kigali, Rwanda",city / area,
62,1,61,0:59:30,1:05:42,0:59:30,1:05:42,"Kigali, Rwanda","Kigali, Rwanda",city / area,
63,1,62,1:05:42,1:06:00,1:05:42,1:06:00,"Kigali, Rwanda","Kigali, Rwanda",city / area,
64,1,63,1:06:00,1:08:45,1:06:00,1:08:45,"Kigali, Rwanda","Kigali, Rwanda",city / area,
65,1,64,1:08:45,1:10:00,1:08:45,1:10:00,Rwanda,Rwanda,country,
66,1,65,1:10:00,1:10:24,1:10:00,1:10:24,Rwanda,Rwanda,country,
67,1,66,1:10:24,1:10:30,1:10:24,1:10:30,Rwanda,Rwanda,country,
68,1,67,1:10:30,1:11:45,1:10:30,1:11:45,Rwanda,Rwanda,country,
69,1,68,1:11:45,1:12:07,1:11:45,1:12:07,Rwanda,Rwanda,country,
70,1,69,1:12:07,1:12:53,1:12:07,1:12:53,Rwanda,Rwanda,country,
71,1,70,1:12:53,1:13:07,1:12:53,1:13:07,Rwanda,Rwanda,country,
72,1,71,1:13:07,1:13:48,1:13:07,1:13:48,Rwanda,Rwanda,country,
73,1,72,1:13:48,1:13:56,1:13:48,1:13:56,"Kigali, Rwanda","Kigali, Rwanda",city / area,
74,1,73,1:13:56,1:14:07,1:13:56,1:14:07,"Kigali, Rwanda","Kigali, Rwanda",city / area,
75,1,74,1:14:07,1:14:12,1:14:07,1:14:12,_end,unknown,,
76,1,75,1:14:12,1:15:17,1:14:12,1:15:17,Germany,Germany,country,
77,2,76,0:00:00,0:00:27,1:15:17,1:15:44,_end,unknown,,
78,2,77,0:00:27,0:05:20,1:15:44,1:20:37,"Kigali, Rwanda; Gisenyi, Rwanda; Goma, Democratic Republic of Congo","Kigali, Rwanda; Gisenyi, Rwanda; Goma, Democratic Republic of Congo",city / area,journey 1
79,2,78,0:05:20,0:05:55,1:20:37,1:21:12,"Goma, Democratic Republic of Congo","Goma, Democratic Republic of Congo",city / area,
80,2,79,0:05:55,0:06:10,1:21:12,1:21:27,"Kigali, Rwanda","Kigali, Rwanda",city / area,
81,2,80,0:06:10,0:07:34,1:21:27,1:22:51,"Goma, Democratic Republic of Congo; Bukavu, Democratic Republic of Congo; Bujumbura, Burundi","Goma, Democratic Republic of Congo; Bukavu, Democratic Republic of Congo; Bujumbura, Burundi",city / area,journey 2
82,2,81,0:07:34,0:09:15,1:22:51,1:24:32,Burundi,Burundi,country,
83,2,82,0:09:15,0:09:45,1:24:32,1:25:02,"Bujumbura, Burundi; Brussels, Belgium; Cologne, Germany","Bujumbura, Burundi; Brussels, Belgium; Cologne, Germany",city / area,Journey 3
84,2,83,0:09:45,0:09:47,1:25:02,1:25:04,Germany,Germany,country,
85,2,84,0:09:47,0:12:01,1:25:04,1:27:18,Germany,Germany,country,
86,2,85,0:12:01,0:14:37,1:27:18,1:29:54,Germany,Germany,country,
87,2,86,0:14:37,0:14:42,1:29:54,1:29:59,Germany,Germany,country,
88,2,87,0:14:42,0:15:10,1:29:59,1:30:27,Germany,Germany,country,
89,2,88,0:15:10,0:15:33,1:30:27,1:30:50,Germany,Germany,country,
90,2,89,0:15:33,0:17:38,1:30:50,1:32:55,Germany,Germany,country,
91,2,90,0:17:38,0:18:19,1:32:55,1:33:36,Germany,Germany,country,
92,2,91,0:18:19,0:19:18,1:33:36,1:34:35,Rwanda,Rwanda,country,
93,2,92,0:19:18,0:20:25,1:34:35,1:38:43,Rwanda; Germany; Canada,Rwanda,country,journey 4
94,2,93,0:20:25,0:21:16,,,,Germany,country,journey 4
95,2,94,0:21:16,0:23:26,,,,Canada,country,journey 4
96,2,95,0:23:26,0:23:31,1:38:43,1:38:48,Canada,Canada; Germany,country,
97,,,,,1:38:43,1:38:48,Germany,,country,
98,2,96,0:23:31,0:26:52,1:38:48,1:42:09,"Trudeau airport, Montreal, Canada; Trois-Rivières, Canada; Ste-Anne-de-la-Pérade, Canada","Trudeau airport, Montreal, Qc; Trois-Rivières, Qc; Ste-Anne-de-la-Pérade, Qc",very local; city / area; local,Journey 5 
99,2,97,0:26:52,0:26:56,1:42:09,1:42:13,Canada,Canada,country,
100,2,98,0:26:56,0:28:15,1:42:13,1:43:32,Canada,Canada,country,
101,2,99,0:28:15,0:28:23,1:43:32,1:43:40,Germany,Germany,country,
102,2,100,0:28:23,0:29:58,1:43:40,1:45:15,Germany,Germany,country,
103,2,101,0:29:58,0:30:05,1:45:15,1:45:22,"Montreal, Canada","Montreal, Qc",city / area,
104,2,102,0:30:05,0:31:04,1:45:22,1:46:21,"Montreal, Canada","Montreal, Qc",city / area,
105,2,103,0:31:04,0:32:25,1:46:21,1:47:42,"Outremont, Montreal, Canada","Outremont, Montreal, Canada",local,
106,2,104,0:32:25,0:33:50,1:47:42,1:49:07,"Montreal, Canada","Montreal, Qc",city / area,
107,2,105,0:33:50,0:34:41,1:49:07,1:49:58,"CECI, Montreal, Canada","CECI, Montreal, Qc",very local ,
108,2,106,0:34:41,0:34:55,1:49:58,1:50:12,"Montreal, Canada","Montreal, Qc",city / area,
109,2,107,0:34:55,0:35:28,1:50:12,1:50:45,"Montreal, Canada","Montreal, Qc",city / area,
110,2,108,0:35:28,0:35:32,1:50:45,1:50:49,"Montreal, Canada","Montreal, Qc",city / area,
111,2,109,0:35:32,0:36:26,1:50:49,1:51:43,"Montreal, Canada","Montreal, Qc",city / area,
112,2,110,0:36:26,0:37:00,1:51:43,1:52:17,"Montreal, Canada","Montreal, Qc; Rwanda",city / area,
113,,,,,1:51:43,1:52:17,Rwanda,,country,
114,2,111,0:37:00,0:37:22,1:52:17,1:52:39,"Montreal, Canada","Montreal, Qc; Rwanda",city / area,
115,,,,,1:52:17,1:52:39,Rwanda,,country,
116,2,112,0:37:22,0:37:36,1:52:39,1:52:53,Rwanda,Rwanda,country,
117,2,113,0:37:36,0:37:59,1:52:53,1:53:16,Rwanda,Rwanda,country,
118,2,114,0:37:59,0:38:01,1:53:16,1:53:18,Rwanda,Rwanda,country,
119,2,115,0:38:01,0:38:23,1:53:18,1:53:40,Rwanda,Rwanda,country,
120,2,116,0:38:23,0:39:59,1:53:40,1:55:16,Rwanda,Rwanda,country,
121,2,117,0:39:59,0:40:04,1:55:16,1:55:21,Rwanda,Rwanda,country,
122,2,118,0:40:04,0:41:53,1:55:21,1:57:10,Rwanda,Rwanda,country,
123,2,119,0:41:53,0:41:56,1:57:10,1:57:13,Rwanda,Rwanda,country,
124,2,120,0:41:56,0:44:57,1:57:13,2:00:14,Rwanda,Rwanda,country,
125,2,121,0:44:57,0:45:34,2:00:14,2:00:51,"Montreal, Canada","Montreal, Qc",city / area,
126,2,122,0:45:34,0:47:28,2:00:51,2:02:45,"Montreal, Canada","Montreal, Qc",city / area,
127,2,123,0:47:28,0:49:55,2:02:45,2:05:12,Africa,Africa,continent,
128,2,124,0:49:55,0:50:16,2:05:12,2:05:33,"Montreal, Canada","Montreal, Qc",city / area,
129,2,125,0:50:16,0:50:29,2:05:33,2:05:46,Africa,Africa,continent,
130,2,126,0:50:29,0:51:06,2:05:46,2:06:23,Canada,Canada,country,
131,2,127,0:51:06,0:52:02,2:06:23,2:07:19,_end,none,,
132,2,128,0:52:02,0:52:05,2:07:19,2:07:22,_end,none,,
133,2,129,0:52:05,0:52:14,2:07:22,2:07:31,_end,none,,
134,2,130,0:52:14,0:52:17,2:07:31,2:07:34,_end,none,,
135,2,131,0:52:17,0:52:30,2:07:34,2:07:47,_end,none,,
136,2,132,0:52:30,0:52:37,2:07:47,2:07:54,_end,none,,
137,2,133,0:52:37,0:53:29,2:07:54,2:08:46,_end,none,,
138,2,134,0:53:29,0:54:06,2:08:46,2:09:23,Rwanda,Rwanda,country,
139,2,135,0:54:06,0:54:25,2:09:23,2:09:42,Rwanda,Rwanda,country,
140,2,136,0:54:25,0:54:45,2:09:42,2:10:02,Rwanda,Rwanda,country,
141,2,137,0:54:45,0:55:06,2:10:02,2:10:23,Canada,Canada,country,
142,2,138,0:55:06,0:55:10,2:10:23,2:10:27,Rwanda,Rwanda,country,
143,2,139,0:55:10,0:55:42,2:10:27,2:10:59,Rwanda,Rwanda,country,
144,2,140,0:55:42,0:56:21,2:10:59,2:11:38,_end,none,,
145,2,141,0:56:21,0:59:00,2:11:38,2:14:17,_end,none,,
146,2,142,0:59:00,1:00:00,2:14:17,2:15:17,Rwanda,"Rwanda; Montreal, Qc",country,
147,,,,,2:14:17,2:15:17,"Montreal, Canada",,city / area,
148,2,143,1:00:00,1:00:32,2:15:17,2:15:49,Rwanda,"Rwanda; Montreal, Qc",country,
149,,,,,2:15:17,2:15:49,"Montreal, Canada",,city / area,
150,2,144,1:00:32,1:00:58,2:15:49,2:16:15,Rwanda,"Rwanda; Montreal, Qc",country,
151,,,,,2:15:49,2:16:15,"Montreal, Canada",,city / area,
152,2,145,1:00:58,1:01:10,2:16:15,2:16:27,Rwanda,"Rwanda; Montreal, Qc",country,
153,,,,,2:16:15,2:16:27,"Montreal, Canada",,city / area,
154,2,146,1:01:10,1:01:35,2:16:27,2:16:52,Rwanda,Rwanda,country,
155,2,147,1:01:35,1:03:52,2:16:52,2:19:09,Rwanda,Rwanda,country,
156,2,148,1:03:52,1:04:20,2:19:09,2:19:37,Rwanda,Rwanda,country,
157,2,149,1:04:20,1:04:42,2:19:37,2:19:59,Rwanda,Rwanda,country,
158,2,150,1:04:42,1:04:49,2:19:59,2:20:06,_end,none,,
159,2,151,1:04:49,1:05:10,2:20:06,2:20:27,_end,none,,
160,2,152,1:05:10,1:05:17,2:20:27,2:20:34,_end,none,,
161,2,153,1:05:17,1:05:43,2:20:34,2:21:00,_end,none,,
162,2,154,1:05:43,1:06:06,2:21:00,2:21:23,_end,none,,
163,2,155,1:06:06,1:07:06,2:21:23,2:22:23,"Montreal, Canada","Montreal, Qc",city / area,
164,2,156,1:07:06,1:07:12,2:22:23,2:22:29,_end,none,,
165,2,157,1:07:12,1:07:19,2:22:29,2:22:36,_end,none,,
166,2,158,1:07:19,1:07:27,2:22:36,2:22:44,_end,none,,
167,2,159,1:07:27,1:07:57,2:22:44,2:23:14,_end,none,,
168,2,160,1:07:57,1:08:19,2:23:14,2:23:36,Rwanda,Rwanda,country,
169,2,161,1:08:19,1:09:18,2:23:36,2:24:35,Rwanda,Rwanda,country,
170,2,162,1:09:18,1:10:14,2:24:35,2:25:31,_end,none,,
171,2,163,1:10:14,1:11:33,2:25:31,2:26:50,_end,none,,
172,2,164,1:11:33,1:12:01,2:26:50,2:27:18,_end,none,,
173,2,165,1:12:01,1:12:59,2:27:18,2:28:16,_end,none,,
174,2,166,1:12:59,1:13:05,2:28:16,2:28:22,_end,none,,
175,2,167,1:13:05,1:13:30,2:28:22,2:28:47,_end,none,,
176,2,168,1:13:30,1:13:53,2:28:47,2:29:10,_end,none,,
