id,Session #,Story unit #,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Cumulative Time start (h:mm:ss),Cumulative Time end (h:mm:ss),Atlascine-location,Location,Scale,Journey
44,1,43,0:23:47,0:23:53,0:23:47,0:23:53,_end,none,,
45,1,44,0:23:53,0:24:13,0:23:53,0:24:13,"Chiloé Island, Chile",Chiloé Island; Chile,region,
46,1,45,0:24:13,0:25:10,0:24:13,0:25:10,"Santiago, Chile",Santiago; Chile,city / area,
47,1,46,0:25:10,0:25:20,0:25:10,0:25:20,_end,none,,
48,1,47,0:25:20,0:27:14,0:25:20,0:27:14,Chile,Chile,country,
49,1,48,0:27:14,0:27:18,0:27:14,0:27:18,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,
50,1,49,0:27:18,0:28:13,0:27:18,0:28:13,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,
51,1,50,0:28:13,0:28:22,0:28:13,0:28:22,_end,none,,
52,1,51,0:28:22,0:29:10,0:28:22,0:29:10,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,
53,1,52,0:29:10,0:29:12,0:29:10,0:29:12,_end,none,,
54,1,53,0:29:12,0:29:44,0:29:12,0:29:44,Peru,Peru,country,
55,1,54,0:29:44,0:29:59,0:29:44,0:29:59,"Paris, France",Paris; France,city / area,
56,1,55,0:29:59,0:30:12,0:29:59,0:30:12,Switzerland,Switzerland,country,
57,1,56,0:30:12,0:30:16,0:30:12,0:30:16,Europe,Europe,continent,
58,1,57,0:30:16,0:30:42,0:30:16,0:30:42,Europe,Europe,continent,
59,1,58,0:30:42,0:30:47,0:30:42,0:30:47,Canada,Canada,country,
60,1,59,0:30:47,0:30:48,0:30:47,0:30:48,Canada,Canada,country,
61,1,60,0:30:48,0:31:30,0:30:48,0:31:30,Switzerland,Switzerland,country,
62,1,61,0:31:30,0:31:36,0:31:30,0:31:36,Canada,Canada,country,
63,1,62,0:31:36,0:32:32,0:31:36,0:32:32,"Montreal, Canada",Montreal; Canada,city / area,
64,1,63,0:32:32,0:33:24,0:32:32,0:33:24,Mexico,Mexico,country,
65,1,64,0:33:24,0:34:53,0:33:24,0:34:53,Haiti,Haiti,country,
66,1,65,0:34:53,0:35:00,0:34:53,0:35:00,Haiti,Haiti,country,
67,1,66,0:35:00,0:36:39,0:35:00,0:36:39,Haiti,Haiti,country,
68,1,67,0:36:39,0:37:00,0:36:39,0:37:00,"Montreal, Canada",Montreal; Canada,city / area,
69,1,68,0:37:00,0:37:10,0:37:00,0:37:10,Haiti,Haiti,country,
70,1,69,0:37:10,0:37:45,0:37:10,0:37:45,Mexico,Mexico,country,
71,1,70,0:37:45,0:37:48,0:37:45,0:37:48,"Montreal, Canada",Montreal; Canada,city / area,
72,1,71,0:37:48,0:38:00,0:37:48,0:38:00,"Montreal, Canada",Montreal; Canada,city / area,
73,1,72,0:38:00,0:38:24,0:38:00,0:38:24,_end,none,,
74,1,73,0:38:24,0:38:55,0:38:24,0:38:55,"Montreal, Canada",Montreal; Canada,city / area,
75,1,74,0:38:55,0:39:00,0:38:55,0:39:00,_end,none,,
76,1,75,0:39:00,0:39:45,0:39:00,0:39:45,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local,
77,1,76,0:39:45,0:39:50,0:39:45,0:39:50,_end,none,,
78,1,77,0:39:50,0:41:03,0:39:50,0:41:03,Haiti,Haiti,country,
79,1,78,0:41:03,0:41:07,0:41:03,0:41:07,_end,none,,
80,1,79,0:41:07,0:41:34,0:41:07,0:41:34,Haiti,Haiti,country,
81,1,80,0:41:34,0:41:58,0:41:34,0:41:58,"Montreal, Canada",Montreal; Canada,city / area,
82,1,81,0:41:58,0:43:22,0:41:58,0:43:22,"Montreal, Canada",Montreal; Canada,city / area,
83,1,82,0:43:22,0:43:31,0:43:22,0:43:31,_end,none,,
84,1,83,0:43:31,0:43:47,0:43:31,0:43:47,"Montreal, Canada",Montreal; Canada,city / area,
85,1,84,0:43:47,0:43:52,0:43:47,0:43:52,_end,none,,
86,1,85,0:43:52,0:44:52,0:43:52,0:44:52,"Montreal, Canada",Montreal; Canada,city / area,
87,1,86,0:44:52,0:44:56,0:44:52,0:44:56,Haiti,Haiti,country,
88,1,87,0:44:56,0:45:13,0:44:56,0:45:13,Haiti,Haiti,country,
89,1,88,0:45:13,0:45:18,0:45:13,0:45:18,Haiti,Haiti,country,
90,1,89,0:45:18,0:46:26,0:45:18,0:46:26,Haiti,Haiti,country,
91,1,90,0:46:26,0:46:31,0:46:26,0:46:31,_end,none,,
92,1,91,0:46:31,0:47:18,0:46:31,0:47:18,Haiti,Haiti,country,
93,1,92,0:47:18,0:47:36,0:47:18,0:47:36,_end,none,,
94,1,93,0:47:36,0:48:27,0:47:36,0:48:27,Canada,Canada,country,
95,1,94,0:48:27,0:48:37,0:48:27,0:48:37,Haiti,Haiti,country,
96,1,95,0:48:37,0:49:15,0:48:37,0:49:15,Haiti,Haiti,country,
97,1,96,0:49:15,0:49:21,0:49:15,0:49:21,_end,none,,
98,1,97,0:49:21,0:49:39,0:49:21,0:49:39,"Montreal, Canada",Montreal; Canada,city / area,
99,1,98,0:49:39,0:50:16,0:49:39,0:50:16,"Montreal, Canada",Montreal; Canada,city / area,
100,1,99,0:50:16,0:50:55,0:50:16,0:50:55,"Montreal, Canada",Montreal; Canada,city / area,
101,1,100,0:50:55,0:50:58,0:50:55,0:50:58,"Montreal, Canada",Montreal; Canada,city / area,
102,1,101,0:50:58,0:51:15,0:50:58,0:51:15,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
103,1,102,0:51:15,0:51:19,0:51:15,0:51:19,_end,none,,
104,1,103,0:51:19,0:51:50,0:51:19,0:51:50,"Montreal, Canada",Montreal; Canada,city / area,
105,1,104,0:51:50,0:52:25,0:51:50,0:52:25,_end,none,,
106,2,105,0:00:00,0:02:15,0:52:25,0:54:40,_end,none,,
107,2,106,0:02:15,0:02:46,0:54:40,0:55:11,_end,none,,
108,2,107,0:02:46,0:08:10,0:55:11,1:00:35,Haiti,Haiti,country,
109,2,108,0:08:10,0:08:35,1:00:35,1:01:00,Haiti,Haiti,country,
110,2,109,0:08:35,0:09:15,1:01:00,1:01:40,Haiti,Haiti,country,
111,2,110,0:09:15,0:09:22,1:01:40,1:01:47,Haiti,Haiti,country,
112,2,111,0:09:22,0:10:07,1:01:47,1:02:32,Haiti,Haiti,country,
113,2,112,0:10:07,0:12:15,1:02:32,1:04:40,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,
114,2,113,0:12:15,0:12:43,1:04:40,1:05:08,"Montreal, Canada",Montreal; Canada,city / area,
115,2,114,0:12:43,0:12:50,1:05:08,1:05:15,_end,none,,
116,2,115,0:12:50,0:13:37,1:05:15,1:06:02,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,
117,2,116,0:13:37,0:15:20,1:06:02,1:07:45,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,
118,2,117,0:15:20,0:15:28,1:07:45,1:07:53,"Casernes Dessalines, Port-au-Prince, Haiti; Pierre Elliott Trudeau International Airport, Montreal, Canada",Casernes Dessalines; Port-au-Prince; Haiti; Pierre Elliott Trudeau International Airport; Montreal; Canada,very local,journey
119,2,118,0:15:28,0:16:05,1:07:53,1:08:30,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,
120,2,119,0:16:05,0:16:19,1:08:30,1:08:44,_end,none,,
121,2,120,0:16:19,0:18:02,1:08:44,1:10:27,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,
122,2,121,0:18:02,0:18:23,1:10:27,1:10:48,"Montreal, Canada",Montreal; Canada,city / area,
123,2,122,0:18:23,0:19:05,1:10:48,1:11:30,"Montreal, Canada",Montreal; Canada,city / area,
124,2,123,0:19:05,0:20:25,1:11:30,1:12:50,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local,
125,2,124,0:20:25,0:20:33,1:12:50,1:12:58,_end,none,,
126,2,125,0:20:33,0:21:18,1:12:58,1:13:43,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,
127,2,126,0:21:18,0:21:56,1:13:43,1:14:21,"Montreal, Canada",Montreal; Canada,city / area,
128,2,127,0:21:56,0:22:03,1:14:21,1:14:28,Haiti,Haiti,country,
129,2,128,0:22:03,0:22:44,1:14:28,1:15:09,"Montreal, Canada",Montreal; Canada,city / area,
130,2,129,0:22:44,0:23:00,1:15:09,1:15:25,Haiti,Haiti,country,
131,2,130,0:23:00,0:23:44,1:15:25,1:16:09,Haiti,Haiti,country,
132,2,131,0:23:44,0:25:20,1:16:09,1:17:45,"Montreal, Canada",Montreal; Canada,city / area,
133,2,132,0:25:20,0:25:29,1:17:45,1:17:54,Haiti,Haiti,country,
134,2,133,0:25:29,0:26:44,1:17:54,1:19:09,"Montreal, Canada",Montreal; Canada,city / area,
135,2,134,0:26:44,0:26:50,1:19:09,1:19:15,"Quebec, Canada",Quebec; Canada,region,
136,2,135,0:26:50,0:28:00,1:19:15,1:20:25,Haiti,Haiti; Quebec,country,
137,,,,,1:19:15,1:20:25,"Quebec, Canada",,region,
138,2,136,0:28:00,0:28:04,1:20:25,1:20:29,_end,none,,
139,2,137,0:28:04,0:28:30,1:20:29,1:20:55,_end,none,,
140,2,138,0:28:30,0:28:38,1:20:55,1:21:03,_end,none,,
141,2,139,0:28:38,0:32:40,1:21:03,1:25:05,"Montreal, Canada",Montreal; Canada,city / area,
142,2,140,0:32:40,0:32:44,1:25:05,1:25:09,"NYC, USA",New York City; USA,city / area,
143,2,141,0:32:44,0:33:50,1:25:09,1:26:15,"NYC, USA",New York City; USA; Montreal; Canada,city / area,
144,,,,,1:25:09,1:26:15,"Montreal, Canada",,city / area,
145,2,142,0:33:50,0:34:01,1:26:15,1:26:26,_end,none,,
146,2,143,0:34:01,0:37:52,1:26:26,1:30:17,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local,
147,3,144,0:00:00,0:00:22,1:30:17,1:30:39,_end,none,,
148,3,145,0:00:22,0:01:31,1:30:39,1:31:48,Haiti,Haiti,country,
149,3,146,0:01:31,0:01:54,1:31:48,1:32:11,"Montreal, Canada",Montreal; Canada,city / area,
150,3,147,0:01:54,0:02:15,1:32:11,1:32:32,Haiti,Haiti,country,
151,3,148,0:02:15,0:02:39,1:32:32,1:32:56,"Montreal, Canada",Montreal; Canada,city / area,
152,3,149,0:02:39,0:02:47,1:32:56,1:33:04,_end,none,,
153,3,150,0:02:47,0:05:35,1:33:04,1:35:52,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,
154,3,151,0:05:35,0:05:40,1:35:52,1:35:57,_end,none,,
155,3,152,0:05:40,0:06:21,1:35:57,1:36:38,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
156,3,153,0:06:21,0:06:31,1:36:38,1:36:48,_end,none,,
157,3,154,0:06:31,0:07:24,1:36:48,1:37:41,"Aquin, Haiti",Aquin; Haiti,local,
158,3,155,0:07:24,0:08:30,1:37:41,1:38:47,Haiti,Haiti,country,
159,3,156,0:08:30,0:08:33,1:38:47,1:38:50,"Aquin, Haiti",Aquin; Haiti,local,
160,3,157,0:08:33,0:08:43,1:38:50,1:39:00,"Aquin, Haiti",Aquin; Haiti,local,
161,3,158,0:08:43,0:08:55,1:39:00,1:39:12,Haiti,Haiti,country,
162,3,159,0:08:55,0:09:00,1:39:12,1:39:17,_end,none,,
163,3,160,0:09:00,0:09:42,1:39:17,1:39:59,Haiti,Haiti,country,
164,3,161,0:09:42,0:09:44,1:39:59,1:40:01,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
165,3,162,0:09:44,0:10:04,1:40:01,1:40:21,"Bas peu de choses, Port-au-Prince, Haiti",Bas peu de choses; Port-au-Prince; Haiti,local,
166,3,163,0:10:04,0:10:35,1:40:21,1:40:52,"Route des Dalles, Port-au-Prince, Haiti",Chemin des Dalles; Port-au-Prince; Haiti,very local,
167,3,164,0:10:35,0:11:13,1:40:52,1:41:30,"Côte Plage, Haiti",Côte Plage; Haiti,local,
168,3,165,0:11:13,0:11:17,1:41:30,1:41:34,_end,none,,
169,3,166,0:11:17,0:12:47,1:41:34,1:43:04,Haiti,Haiti,country,
170,3,167,0:12:47,0:12:51,1:43:04,1:43:08,Haiti,Haiti,country,
171,3,168,0:12:51,0:15:00,1:43:08,1:45:17,Haiti,Haiti,country,
172,3,169,0:15:00,0:15:06,1:45:17,1:45:23,Haiti,Haiti,country,
173,3,170,0:15:06,0:15:40,1:45:23,1:45:57,Haiti,Haiti,country,
174,3,171,0:15:40,0:15:44,1:45:57,1:46:01,_end,none,,
175,3,172,0:15:44,0:16:02,1:46:01,1:46:19,Haiti,Haiti,country,
176,3,173,0:16:02,0:16:07,1:46:19,1:46:24,"Montreal, Canada",Montreal; Canada,city / area,
177,3,174,0:16:07,0:16:27,1:46:24,1:46:44,_end,none,,
178,3,175,0:16:27,0:16:34,1:46:44,1:46:51,_end,none,,
179,3,176,0:16:34,0:16:51,1:46:51,1:47:08,_end,none,,
180,3,177,0:16:51,0:16:56,1:47:08,1:47:13,_end,none,,
181,3,178,0:16:56,0:17:35,1:47:13,1:47:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
182,3,179,0:17:35,0:17:37,1:47:52,1:47:54,_end,none,,
183,3,180,0:17:37,0:18:34,1:47:54,1:48:51,_end,none,,
184,3,181,0:18:34,0:18:37,1:48:51,1:48:54,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
185,3,182,0:18:37,0:19:41,1:48:54,1:49:58,"Port-au-Prince, Haiti",Port-au-Prince; Côte Plage; Haiti,city / area,
186,,,,,1:48:54,1:49:58,"Côte Plage, Haiti",,local,
187,3,183,0:19:41,0:19:48,1:49:58,1:50:05,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
188,3,184,0:19:48,0:20:39,1:50:05,1:50:56,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
189,3,185,0:20:39,0:22:23,1:50:56,1:52:40,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
190,3,186,0:22:23,0:22:25,1:52:40,1:52:42,_end,none,,
191,3,187,0:22:25,0:22:37,1:52:42,1:52:54,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
192,3,188,0:22:37,0:22:47,1:52:54,1:53:04,Haiti,Haiti,country,
193,3,189,0:22:47,0:22:50,1:53:04,1:53:07,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
194,3,190,0:22:50,0:22:55,1:53:07,1:53:12,France,France,country,
195,3,191,0:22:55,0:23:12,1:53:12,1:53:29,Latin America,Latin America,continent,
196,3,192,0:23:12,0:23:21,1:53:29,1:53:38,_end,none,,
197,3,193,0:23:21,0:24:44,1:53:38,1:55:01,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
198,3,194,0:24:44,0:24:46,1:55:01,1:55:03,_end,none,,
199,3,195,0:24:46,0:25:36,1:55:03,1:55:53,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,
200,3,196,0:25:36,0:25:54,1:55:53,1:56:11,_end,none,,
201,3,197,0:25:54,0:26:20,1:56:11,1:56:37,_end,none,,
202,3,198,0:26:20,0:26:54,1:56:37,1:57:11,"Port-au-Prince, Haiti",Port-Au-Prince; Santiago; Montreal,city / area,
203,,,,,1:56:37,1:57:11,"Santiago, Chile",,city / area,
204,,,,,1:56:37,1:57:11,"Montreal, Canada",,city / area,
205,3,199,0:26:54,0:27:41,1:57:11,1:57:58,"Bicentennaire, Port-au-Prince, Haiti",Bicentennaire; Port-au-Prince; Haiti,very local,
206,3,200,0:27:41,0:28:40,1:57:58,1:58:57,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,
207,3,201,0:28:40,0:29:26,1:58:57,1:59:43,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local,
208,3,202,0:29:26,0:29:35,1:59:43,1:59:52,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local,
209,3,203,0:29:35,0:31:00,1:59:52,2:01:17,"Bel Air, Port-au-Prince, Haiti",Bel Air; Port-au-Prince; Haiti,local,
210,3,204,0:31:00,0:31:20,2:01:17,2:01:37,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
211,3,205,0:31:20,0:32:15,2:01:37,2:02:32,"Rue Marcelin, Port-au-Prince, Haiti",Rue Marcelin; Port-au-Prince; Haiti,very local,
212,3,206,0:32:15,0:33:14,2:02:32,2:03:31,"Santiago, Chile",Santiago; Chile,city / area,
213,3,207,0:33:14,0:34:00,2:03:31,2:04:17,"Card Jose Maria Caro, Lo Espejo, Santiago, Chile",Card Jose Maria Caro; Lo Espejo; Santiago; Chile,local,
214,3,208,0:34:00,0:35:03,2:04:17,2:05:20,"Montreal, Canada",Montreal; Canada,city / area,
215,3,209,0:35:03,0:35:50,2:05:20,2:06:07,"Montreal, Canada",Montreal; Canada,city / area,
216,3,210,0:35:50,0:36:41,2:06:07,2:06:58,"Montreal, Canada",Montreal; Canada,city / area,
217,3,211,0:36:41,0:36:51,2:06:58,2:07:08,_end,none,,
218,3,212,0:36:51,0:37:20,2:07:08,2:07:37,"Montreal, Canada",Montreal; Canada,city / area,
219,3,213,0:37:20,0:39:06,2:07:37,2:09:23,"Chemin de la Côte-des-Neiges, Montreal, Canada",Chemin de la Côte-des-Neiges between Queen Mary and Jean-Brillant; Montreal; Canada,very local,
220,3,214,0:39:06,0:39:14,2:09:23,2:09:31,_end,none,,
221,3,215,0:39:14,0:40:12,2:09:31,2:10:29,_end,none,,
222,3,216,0:40:12,0:40:18,2:10:29,2:10:35,_end,none,,
223,3,217,0:40:18,0:41:36,2:10:35,2:11:53,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,
224,3,218,0:41:36,0:42:52,2:11:53,2:13:09,"Montreal, Canada",Montreal; Canada,city / area,
225,3,219,0:42:52,0:43:43,2:13:09,2:14:00,Chile,Chile,country,
226,3,220,0:43:43,0:44:50,2:14:00,2:15:07,"Montreal, Canada",Montreal; Canada,city / area,
227,3,221,0:44:50,0:45:02,2:15:07,2:15:19,_end,none,,
228,3,222,0:45:02,0:45:02,2:15:19,2:15:19,"Montreal, Canada",Montreal; Canada,city / area,
229,3,223,0:45:02,0:48:35,2:15:19,2:18:52,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local,
230,3,224,0:48:35,0:48:39,2:18:52,2:18:56,_end,none,,
231,3,225,0:48:39,0:49:55,2:18:56,2:20:12,"Montreal, Canada",Montreal; Canada,city / area,
232,3,226,0:49:55,0:50:14,2:20:12,2:20:31,Canada,Canada,country,
233,3,227,0:50:14,0:50:25,2:20:31,2:20:42,_end,none,,
234,3,228,0:50:25,0:51:06,2:20:42,2:21:23,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
235,3,229,0:51:06,0:52:40,2:21:23,2:22:57,_end,many,,
236,3,230,0:52:40,0:52:42,2:22:57,2:22:59,_end,none,,
237,3,231,0:52:42,0:53:25,2:22:59,2:23:42,_end,none,,
238,3,232,0:53:25,0:53:32,2:23:42,2:23:49,_end,none,,
239,3,233,0:53:32,0:55:27,2:23:49,2:25:44,"CIDIHCA, Montreal, Canada",Centre International De Documentation & D'Information Haitienne Caraïbéenne & Afrocanadienne; Montreal; Canada,very local,
240,3,234,0:55:27,0:55:30,2:25:44,2:25:47,_end,none,,
241,3,235,0:55:30,0:57:19,2:25:47,2:27:36,USA,USA; Quebec; Canada,country,
242,,,,,2:25:47,2:27:36,"Quebec, Canada",,region,
243,3,236,0:57:19,0:57:34,2:27:36,2:27:51,Haiti,Haiti,country,
244,3,237,0:57:34,0:58:07,2:27:51,2:28:24,USA,USA; Quebec; Canada,country,
245,,,,,2:27:51,2:28:24,"Quebec, Canada",,region,
246,3,238,0:58:07,0:58:27,2:28:24,2:28:44,_end,none,,
247,3,239,0:58:27,0:58:40,2:28:44,2:28:57,"Longueuil, Canada",Longueuil; New York City,city / area,
248,,,,,2:28:44,2:28:57,"NYC, USA",,city / area,
249,3,240,0:58:40,0:58:47,2:28:57,2:29:04,_end,none,,
250,3,241,0:58:47,0:59:00,2:29:04,2:29:17,_end,none,,
251,3,242,0:59:00,0:59:03,2:29:17,2:29:20,_end,none,,
252,3,243,0:59:03,1:01:00,2:29:20,2:31:17,_end,many,,
253,3,244,1:01:00,1:02:06,2:31:17,2:32:23,_end,none,,
254,3,245,1:02:06,1:03:04,2:32:23,2:33:21,Haiti,Haiti; Montreal; Canada,country,
255,,,,,2:32:23,2:33:21,"Montreal, Canada",,city / area,
256,3,246,1:03:04,1:03:07,2:33:21,2:33:24,_end,none,,
257,3,247,1:03:07,1:04:19,2:33:24,2:34:36,"Montreal, Canada",Montreal; Canada,city / area,
258,3,248,1:04:19,1:04:42,2:34:36,2:34:59,"Champlain Bridge, Canada",Champlain Bridge; Canada,very local,
259,3,249,1:04:42,1:05:22,2:34:59,2:35:39,"Montreal, Canada",Montreal; Canada,city / area,
260,3,250,1:05:22,1:05:33,2:35:39,2:35:50,Haiti,Haiti,country,
261,3,251,1:05:33,1:06:08,2:35:50,2:36:25,Haiti,Haiti,country,
262,3,252,1:06:08,1:07:17,2:36:25,2:37:34,Caribbean,Carribean; Europe; North America,continent,
263,,,,,2:36:25,2:37:34,Europe,,continent,
264,,,,,2:36:25,2:37:34,North America,,continent,
265,3,253,1:07:17,1:10:15,2:37:34,2:40:32,Haiti,Haiti; Europe; USA; Latin America ,country,
266,,,,,2:37:34,2:40:32,Europe,,continent,
267,,,,,2:37:34,2:40:32,USA,,country,
268,,,,,2:37:34,2:40:32,Latin America,,continent,
269,3,254,1:10:15,1:10:27,2:40:32,2:40:44,Haiti,Haiti; Montreal; Canada,country,
270,,,,,2:40:32,2:40:44,"Montreal, Canada",,city / area,
271,3,255,1:10:27,1:10:50,2:40:44,2:41:07,Haiti,Haiti,country,
